victory,player_back_hero,player_back_level,player_back_items,player_back_meta,player_front_hero,player_front_level,player_front_items,player_front_meta,player_right_hero,player_right_level,player_right_items,player_right_meta,player_left_hero,player_left_level,player_left_items,player_left_meta,enemy_back_hero,enemy_back_level,enemy_back_items,enemy_back_meta,enemy_front_hero,enemy_front_level,enemy_front_items,enemy_front_meta,enemy_right_hero,enemy_right_level,enemy_right_items,enemy_right_meta,enemy_left_hero,enemy_left_level,enemy_left_items,enemy_left_meta,partyTimestamp,season,json,difficulty
TRUE,berserker,3,151@34@58,,oni,3,117@2@8,,archer,3,56@30@61,,druid,3,125@31@6,,cleric,3,110@21@20,,cyclops,3,58@114@115,,sharkmancer,3,33@13@54,,wukong,3,54@10@11,,1746563345398,,"{""playerParty"":{""back"":{""xp"":0,""skin"":1,""id"":""berserker"",""level"":3,""items"":[""151"",""34"",""58""],""meta"":{}},""front"":{""xp"":0,""skin"":1,""id"":""oni"",""level"":3,""items"":[""117"",""2"",""8""],""meta"":{}},""right"":{""xp"":0,""skin"":1,""id"":""archer"",""level"":3,""items"":[""56"",""30"",""61""],""meta"":{}},""left"":{""xp"":0,""skin"":1,""id"":""druid"",""level"":3,""items"":[""125"",""31"",""6""],""meta"":{}},""meta"":{""rerollSpent"":10,""rerollTimes"":9,""leftoverGold"":0,""leftoverItems"":[]}},""enemyParty"":{""back"":{""xp"":0,""skin"":1,""id"":""cleric"",""level"":3,""items"":[""110"",""21"",""20""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""cyclops"",""level"":3,""items"":[""58"",""114"",""115""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""sharkmancer"",""level"":3,""items"":[""33"",""13"",""54""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""wukong"",""level"":3,""items"":[""54"",""10"",""11""],""meta"":{}},""meta"":{""rerollSpent"":10,""rerollTimes"":7,""leftoverGold"":0,""leftoverItems"":[]}},""result"":true}",1
FALSE,imp,3,6@20,,biomancer,3,3,"bioMut,3:0@bioRegion,0:1",imp,3,53@20,,biomancer,3,18@18,"bioMut,1:0@bioRegion,0:1",berserker,3,151@34@58,,oni,3,117@2@8,,archer,3,56@30@61,,druid,3,125@31@6,,1746583333626,,"{""playerParty"":{""back"":{""xp"":0,""skin"":0,""id"":""imp"",""level"":3,""items"":[""6"",""20""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""biomancer"",""level"":3,""items"":[""3""],""meta"":{""bioMut"":3,""bioRegion"":0}},""right"":{""xp"":0,""skin"":0,""id"":""imp"",""level"":3,""items"":[""53"",""20""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""biomancer"",""level"":3,""items"":[""18"",""18""],""meta"":{""bioMut"":1,""bioRegion"":0}},""meta"":{""rerollSpent"":30,""rerollTimes"":16,""leftoverGold"":1,""leftoverItems"":[]},""timestamp"":1746583302146},""enemyParty"":{""back"":{""xp"":0,""skin"":1,""id"":""berserker"",""level"":3,""items"":[""151"",""34"",""58""],""meta"":{}},""front"":{""xp"":0,""skin"":1,""id"":""oni"",""level"":3,""items"":[""117"",""2"",""8""],""meta"":{}},""right"":{""xp"":0,""skin"":1,""id"":""archer"",""level"":3,""items"":[""56"",""30"",""61""],""meta"":{}},""left"":{""xp"":0,""skin"":1,""id"":""druid"",""level"":3,""items"":[""125"",""31"",""6""],""meta"":{}},""meta"":{""rerollSpent"":10,""rerollTimes"":9,""leftoverGold"":0,""leftoverItems"":[]},""playerId"":""76561198039229388""},""result"":false}",1
TRUE,cleric,2,20@3@21,,paladin,3,24@123@115,,cupid,3,63@62@32,,medusa,3,5@110@60,,biomancer,1,,"bioMut,0:0@bioRegion,0:1",wukong,3,18@3@55,,biomancer,3,21@37@19,"bioMut,1:0@bioRegion,0:1",biomancer,3,18@5,"bioMut,2:0@bioRegion,0:1",1746586910280,,"{""playerParty"":{""back"":{""xp"":2,""skin"":0,""id"":""cleric"",""level"":2,""items"":[""20"",""3"",""21""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""paladin"",""level"":3,""items"":[""24"",""123"",""115""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""cupid"",""level"":3,""items"":[""63"",""62"",""32""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""medusa"",""level"":3,""items"":[""5"",""110"",""60""],""meta"":{}},""meta"":{""rerollSpent"":6,""rerollTimes"":6,""leftoverGold"":12,""leftoverItems"":[]}},""enemyParty"":{""back"":{""xp"":3,""skin"":0,""id"":""biomancer"",""level"":1,""items"":[],""meta"":{""bioMut"":0,""bioRegion"":0}},""front"":{""xp"":0,""skin"":0,""id"":""wukong"",""level"":3,""items"":[""18"",""3"",""55""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""biomancer"",""level"":3,""items"":[""21"",""37"",""19""],""meta"":{""bioMut"":1,""bioRegion"":0}},""left"":{""xp"":0,""skin"":0,""id"":""biomancer"",""level"":3,""items"":[""18"",""5""],""meta"":{""bioMut"":2,""bioRegion"":0}},""meta"":{""rerollSpent"":8,""rerollTimes"":8,""leftoverGold"":22,""leftoverItems"":[]}},""result"":true}",1
TRUE,medusa,3,126@3@35,,cyclops,3,114@12@59,,siren,3,6@15@37,,plaguedoctor,3,10@62,,plaguedoctor,3,110,,deepcultist,3,115@61@18,,bard,3,60@7,,viking,3,3@3@31,,1746602643610,,"{""playerParty"":{""back"":{""xp"":0,""skin"":0,""id"":""medusa"",""level"":3,""items"":[""126"",""3"",""35""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""cyclops"",""level"":3,""items"":[""114"",""12"",""59""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""siren"",""level"":3,""items"":[""6"",""15"",""37""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""plaguedoctor"",""level"":3,""items"":[""10"",""62""],""meta"":{}},""meta"":{""rerollSpent"":10,""rerollTimes"":9,""leftoverGold"":1,""leftoverItems"":[]}},""enemyParty"":{""back"":{""xp"":0,""skin"":0,""id"":""plaguedoctor"",""level"":3,""items"":[""110""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""deepcultist"",""level"":3,""items"":[""115"",""61"",""18""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""bard"",""level"":3,""items"":[""60"",""7""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""viking"",""level"":3,""items"":[""3"",""3"",""31""],""meta"":{}},""meta"":{""rerollSpent"":10,""rerollTimes"":9,""leftoverGold"":3,""leftoverItems"":[]}},""result"":true}",1
TRUE,cupid,3,126@21@6,,druid,3,15@63@79,,paladin,2,15@62@7,,biomancer,3,152@35@21,"bioMut,1:0@bioRegion,0:1",cleric,2,20@3@21,,paladin,3,24@123@115,,cupid,3,63@62@32,,medusa,3,5@110@60,,1746603430365,,"{""playerParty"":{""back"":{""xp"":0,""skin"":0,""id"":""cupid"",""level"":3,""items"":[""126"",""21"",""6""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""druid"",""level"":3,""items"":[""15"",""63"",""79""],""meta"":{}},""right"":{""xp"":1,""skin"":0,""id"":""paladin"",""level"":2,""items"":[""15"",""62"",""7""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""biomancer"",""level"":3,""items"":[""152"",""35"",""21""],""meta"":{""bioMut"":1,""bioRegion"":0}},""meta"":{""rerollSpent"":9,""rerollTimes"":8,""leftoverGold"":4,""leftoverItems"":[]},""timestamp"":1746603408115},""enemyParty"":{""back"":{""xp"":2,""skin"":0,""id"":""cleric"",""level"":2,""items"":[""20"",""3"",""21""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""paladin"",""level"":3,""items"":[""24"",""123"",""115""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""cupid"",""level"":3,""items"":[""63"",""62"",""32""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""medusa"",""level"":3,""items"":[""5"",""110"",""60""],""meta"":{}},""meta"":{""rerollSpent"":6,""rerollTimes"":6,""leftoverGold"":12,""leftoverItems"":[]},""playerId"":""76561198190129321""},""result"":true}",1
TRUE,cupid,3,22@124@20,,berserker,3,16@125@115,,berserker,3,16@59@115,,bard,3,6@110@6,,cupid,3,126@21@6,,druid,3,15@63@79,,paladin,2,15@62@7,,biomancer,3,152@35@21,"bioMut,1:0@bioRegion,0:1",1746644319523,,"{""playerParty"":{""back"":{""xp"":0,""skin"":2,""id"":""cupid"",""level"":3,""items"":[""22"",""124"",""20""],""meta"":{}},""front"":{""xp"":0,""skin"":1,""id"":""berserker"",""level"":3,""items"":[""16"",""125"",""115""],""meta"":{}},""right"":{""xp"":0,""skin"":1,""id"":""berserker"",""level"":3,""items"":[""16"",""59"",""115""],""meta"":{}},""left"":{""xp"":0,""skin"":2,""id"":""bard"",""level"":3,""items"":[""6"",""110"",""6""],""meta"":{}},""meta"":{""rerollSpent"":12,""rerollTimes"":10,""leftoverGold"":1,""leftoverItems"":[]},""timestamp"":1746644263856},""enemyParty"":{""left"":{""xp"":0,""skin"":0,""id"":""biomancer"",""level"":3,""items"":[""152"",""35"",""21""],""meta"":{""bioMut"":1,""bioRegion"":0}},""meta"":{""rerollSpent"":9,""rerollTimes"":8,""leftoverGold"":4,""leftoverItems"":[]},""back"":{""xp"":0,""skin"":0,""id"":""cupid"",""level"":3,""items"":[""126"",""21"",""6""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""druid"",""level"":3,""items"":[""15"",""63"",""79""],""meta"":{}},""right"":{""xp"":1,""skin"":0,""id"":""paladin"",""level"":2,""items"":[""15"",""62"",""7""],""meta"":{}},""timestamp"":1746603408115,""playerId"":""76561198042308561""},""result"":true}",1
TRUE,ronin,3,63@7@13,,deepcultist,3,61@1@86,,cupid,3,15@126@117,,plaguedoctor,3,126@13@114,,medusa,3,126@3@35,,cyclops,3,114@12@59,,siren,3,6@15@37,,plaguedoctor,3,10@62,,1746650228917,,"{""playerParty"":{""back"":{""xp"":0,""skin"":0,""id"":""ronin"",""level"":3,""items"":[""63"",""7"",""13""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""deepcultist"",""level"":3,""items"":[""61"",""1"",""86""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""cupid"",""level"":3,""items"":[""15"",""126"",""117""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""plaguedoctor"",""level"":3,""items"":[""126"",""13"",""114""],""meta"":{}},""meta"":{""rerollSpent"":9,""rerollTimes"":8,""leftoverGold"":0,""leftoverItems"":[]},""timestamp"":1746650216096},""enemyParty"":{""back"":{""xp"":0,""skin"":0,""id"":""medusa"",""level"":3,""items"":[""126"",""3"",""35""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""cyclops"",""level"":3,""items"":[""114"",""12"",""59""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""siren"",""level"":3,""items"":[""6"",""15"",""37""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""plaguedoctor"",""level"":3,""items"":[""10"",""62""],""meta"":{}},""meta"":{""rerollSpent"":10,""rerollTimes"":9,""leftoverGold"":1,""leftoverItems"":[]},""playerId"":""76561198042308561""},""result"":true}",1
TRUE,lich,3,6@124,,cyclops,3,61@16@79,,slayer,3,56@126@6,,ronin,3,56@123@60,,berserker,3,151@34@58,,oni,3,117@2@8,,archer,3,56@30@61,,druid,3,125@31@6,,1746650526138,,"{""playerParty"":{""back"":{""xp"":0,""skin"":0,""id"":""lich"",""level"":3,""items"":[""6"",""124""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""cyclops"",""level"":3,""items"":[""61"",""16"",""79""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""slayer"",""level"":3,""items"":[""56"",""126"",""6""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""ronin"",""level"":3,""items"":[""56"",""123"",""60""],""meta"":{}},""meta"":{""rerollSpent"":12,""rerollTimes"":10,""leftoverGold"":2,""leftoverItems"":[]},""timestamp"":1746650503490},""enemyParty"":{""back"":{""xp"":0,""skin"":1,""id"":""berserker"",""level"":3,""items"":[""151"",""34"",""58""],""meta"":{}},""front"":{""xp"":0,""skin"":1,""id"":""oni"",""level"":3,""items"":[""117"",""2"",""8""],""meta"":{}},""right"":{""xp"":0,""skin"":1,""id"":""archer"",""level"":3,""items"":[""56"",""30"",""61""],""meta"":{}},""left"":{""xp"":0,""skin"":1,""id"":""druid"",""level"":3,""items"":[""125"",""31"",""6""],""meta"":{}},""meta"":{""rerollSpent"":10,""rerollTimes"":9,""leftoverGold"":0,""leftoverItems"":[]},""playerId"":""76561198039229388""},""result"":true}",1
TRUE,berserker,3,13@123@18,,viking,3,82@61@8,,plaguedoctor,3,37@5@3,,hoplite,3,56@63@6,,cleric,2,20@3@21,,paladin,3,24@123@115,,cupid,3,63@62@32,,medusa,3,5@110@60,,1746650825938,,"{""playerParty"":{""back"":{""xp"":0,""skin"":0,""id"":""berserker"",""level"":3,""items"":[""13"",""123"",""18""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""viking"",""level"":3,""items"":[""82"",""61"",""8""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""plaguedoctor"",""level"":3,""items"":[""37"",""5"",""3""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""hoplite"",""level"":3,""items"":[""56"",""63"",""6""],""meta"":{}},""meta"":{""rerollSpent"":6,""rerollTimes"":5,""leftoverGold"":5,""leftoverItems"":[21]},""timestamp"":1746650812828},""enemyParty"":{""back"":{""xp"":2,""skin"":0,""id"":""cleric"",""level"":2,""items"":[""20"",""3"",""21""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""paladin"",""level"":3,""items"":[""24"",""123"",""115""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""cupid"",""level"":3,""items"":[""63"",""62"",""32""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""medusa"",""level"":3,""items"":[""5"",""110"",""60""],""meta"":{}},""meta"":{""rerollSpent"":6,""rerollTimes"":6,""leftoverGold"":12,""leftoverItems"":[]},""playerId"":""76561198190129321""},""result"":true}",1
TRUE,cleric,3,17@61@8,,viking,3,3@59@5,,ronin,3,6@30@56,,oni,3,117@15@3,,medusa,3,126@3@35,,cyclops,3,114@12@59,,siren,3,6@15@37,,plaguedoctor,3,10@62,,1746651497837,,"{""playerParty"":{""back"":{""xp"":0,""skin"":0,""id"":""cleric"",""level"":3,""items"":[""17"",""61"",""8""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""viking"",""level"":3,""items"":[""3"",""59"",""5""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""ronin"",""level"":3,""items"":[""6"",""30"",""56""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""oni"",""level"":3,""items"":[""117"",""15"",""3""],""meta"":{}},""meta"":{""rerollSpent"":4,""rerollTimes"":4,""leftoverGold"":6,""leftoverItems"":[]},""timestamp"":1746651479544},""enemyParty"":{""back"":{""xp"":0,""skin"":0,""id"":""medusa"",""level"":3,""items"":[""126"",""3"",""35""],""meta"":{}},""front"":{""xp"":0,""skin"":0,""id"":""cyclops"",""level"":3,""items"":[""114"",""12"",""59""],""meta"":{}},""right"":{""xp"":0,""skin"":0,""id"":""siren"",""level"":3,""items"":[""6"",""15"",""37""],""meta"":{}},""left"":{""xp"":0,""skin"":0,""id"":""plaguedoctor"",""level"":3,""items"":[""10"",""62""],""meta"":{}},""meta"":{""rerollSpent"":10,""rerollTimes"":9,""leftoverGold"":1,""leftoverItems"":[]},""playerId"":""76561198042308561""},""result"":true}",2
